NTS Weekly Report: 2025-04-13 to 2025-04-20
Total Episodes: 106

EPISODES
Show,Episode Title,Broadcast Date,Location,Track Count
12,Vangelis - Himalaya,2
13,Led Zeppelin - No Quarter ,2
14,Dj Sholz X Ey - Make Love,2
15,Brazy - Je Wo,2
16,Basssie - Kwelanga 2.0 (Feat. Tman Xpress & Leemckrazy),2
17,Tebza De Dj Ft Dj Nomza The King - Ka Valungu,2
18,Oscar Mbo & Jazzwork - Vuka (Feat. Thukuthela),2
19,Dlala Thukzin - Iplan (Ft Zaba & Sykes),2
20,@Motivesoul - Yin & Yang,2

TOP ARTISTS
Rank,Artist,Play Count
1,Windy & Carl,12
2,Roy Ayers,11
3,Eastham Band,10
4,G VERSION III,9
5,Roy Ayers Ubiquity,7
6,Andrew Hill,6
7,OutKast,6
8,Ploy,5
9,Wynne Band,4
10,The Beatles,4
11,"Ensemble Organum, Marcel Pérès",3
12,POUNDSHOP,3
13,Kadubai Kharat,3
14,Spivak,3
15,"Quickly, Quickly",3
16,KMRU,3
17,Ithran,3
18,Vashti Bunyan,3
19,Hype Williams,3
20,Pedro Infante,3
